Etapa,Area,Trimestre,SDA_ID,SDA_Titulo,Criterio_Codigo,Criterio_Descriptor,Competencia_Codigo,Competencia_Descriptor,Actividad_ID,Actividad_Titulo,Criterios_Vinculados,Fecha,Sesion_Numero,Sesion_Titulo,Descripcion_Sesion
Infantil,Crecimiento en Armonía,T3,SDA6_CA,Cine y teatro,6_CA_CE2_C4,"Reconocer, expresar y regular emociones",CE2,Desarrollo personal y emocional,W1_SDA6_CA,Las emociones en el cine,,2026-04-07,1,Identificamos emociones en las películas,Ver fragmentos de películas animadas y identificar las emociones de los personajes. En asamblea hablar sobre cómo nos sentimos nosotros al ver esas escenas.
Infantil,Crecimiento en Armonía,T3,SDA6_CA,Cine y teatro,,,,,W1_SDA6_CA,Las emociones en el cine,,2026-04-08,2,¿Cómo se siente el personaje?,Mostrar fotogramas de personajes con distintas expresiones. Los niños identifican la emoción y explican por qué creen que se siente así el personaje.
Infantil,Crecimiento en Armonía,T3,SDA6_CA,Cine y teatro,,,,,W1_SDA6_CA,Las emociones en el cine,,2026-04-09,3,Dibujamos emociones,Cada niño dibuja una emoción que haya sentido esta semana y la comparte con el grupo. Reflexionar sobre qué situaciones provocan cada emoción.
Infantil,Crecimiento en Armonía,T3,SDA6_CA,Cine y teatro,,,,,W1_SDA6_CA,Las emociones en el cine,,2026-04-10,4,Hablamos de cómo nos sentimos,Asamblea emocional: ¿cómo me he sentido esta semana? Cada niño usa el semáforo de emociones o tarjetas de caras para expresar su estado.
Infantil,Crecimiento en Armonía,T3,SDA6_CA,Cine y teatro,,,,,W2_SDA6_CA,Sentimos el teatro,,2026-04-13,1,Las emociones en escena,Explorar cómo los actores expresan emociones. Juego: el maestro dice una emoción y los niños la representan con el cuerpo y la cara.
Infantil,Crecimiento en Armonía,T3,SDA6_CA,Cine y teatro,,,,,W2_SDA6_CA,Sentimos el teatro,,2026-04-14,2,Juego de roles con emociones,En parejas representar situaciones cotidianas con distintas emociones. Por ejemplo: encontrarse con un amigo (alegría) perder un juguete (tristeza).
Infantil,Crecimiento en Armonía,T3,SDA6_CA,Cine y teatro,,,,,W2_SDA6_CA,Sentimos el teatro,,2026-04-15,3,El miedo la alegría la tristeza,Cuento o historia sobre las emociones básicas. Tras escucharlo identificar situaciones en las que cada niño ha sentido esas emociones.
Infantil,Crecimiento en Armonía,T3,SDA6_CA,Cine y teatro,,,,,W2_SDA6_CA,Sentimos el teatro,,2026-04-16,4,Aprendemos a regularnos,Presentar técnicas sencillas de regulación emocional: respiración profunda contar hasta 10 el rincón de la calma. Practicarlas en grupo.
Infantil,Crecimiento en Armonía,T3,SDA6_CA,Cine y teatro,,,,,W2_SDA6_CA,Sentimos el teatro,,2026-04-17,5,Respetamos los turnos en el ensayo,Durante el ensayo trabajar el respeto al turno de cada compañero. Reflexionar sobre cómo nos sentimos cuando nos interrumpen y cómo podemos evitarlo.
Infantil,Crecimiento en Armonía,T3,SDA6_CA,Cine y teatro,,,,,W3_SDA6_CA,Expresamos emociones,,2026-04-20,1,Mi personaje y sus emociones,Cada niño trabaja las emociones de su personaje: ¿qué siente en cada escena? Preparar la expresión facial y corporal para cada momento emocional.
Infantil,Crecimiento en Armonía,T3,SDA6_CA,Cine y teatro,,,,,W3_SDA6_CA,Expresamos emociones,,2026-04-21,2,Empatizamos con otros personajes,Intercambiar personajes: cada niño representa el personaje de otro compañero. Reflexionar sobre cómo se siente ese personaje y por qué actúa así.
Infantil,Crecimiento en Armonía,T3,SDA6_CA,Cine y teatro,,,,,W3_SDA6_CA,Expresamos emociones,,2026-04-22,3,Trabajamos en equipo,Juegos cooperativos para construir confianza en el grupo. Reflexionar sobre la importancia de ayudarse y respetar a todos para que la obra salga bien.
Infantil,Crecimiento en Armonía,T3,SDA6_CA,Cine y teatro,,,,,W3_SDA6_CA,Expresamos emociones,,2026-04-23,4,Resolvemos conflictos del ensayo,Si hay desacuerdos sobre la obra usarlos como oportunidad de aprendizaje. Practicar el diálogo y la negociación para llegar a acuerdos.
Infantil,Crecimiento en Armonía,T3,SDA6_CA,Cine y teatro,,,,,W3_SDA6_CA,Expresamos emociones,,2026-04-24,5,Nos ayudamos mutuamente,Actividad de ayuda mutua: cada niño ayuda a un compañero con su parte del guión o su disfraz. Reflexionar sobre cómo nos sentimos cuando ayudamos y cuando recibimos ayuda.
Infantil,Crecimiento en Armonía,T3,SDA6_CA,Cine y teatro,,,,,W4_SDA6_CA,Cuidamos el espacio compartido,,2026-04-27,1,Ordenamos y preparamos el aula-teatro,Entre todos organizar el espacio del aula para los ensayos. Hablar sobre la responsabilidad de cuidar el material y el espacio compartido.
Infantil,Crecimiento en Armonía,T3,SDA6_CA,Cine y teatro,,,,,W4_SDA6_CA,Cuidamos el espacio compartido,,2026-04-28,2,Normas de convivencia en el ensayo,Establecer entre todos las normas del ensayo: escuchar no interrumpir respetar el espacio de los compañeros. Crear un cartel con las normas.
Infantil,Crecimiento en Armonía,T3,SDA6_CA,Cine y teatro,,,,,W4_SDA6_CA,Cuidamos el espacio compartido,,2026-04-29,3,Me cuido y cuido a mis compañeros,Reflexión sobre el autocuidado: descansar bien alimentarse hidratarse para rendir en los ensayos. Extenderlo al cuidado de los compañeros.
Infantil,Crecimiento en Armonía,T3,SDA6_CA,Cine y teatro,,,,,W4_SDA6_CA,Cuidamos el espacio compartido,,2026-04-30,4,Colaboramos para crear los decorados,Trabajo cooperativo para construir los decorados de la obra. Repartir tareas según las habilidades de cada uno. Valorar la contribución de todos.
Infantil,Crecimiento en Armonía,T3,SDA6_CA,Cine y teatro,,,,,W5_SDA6_CA,Emociones en escena,,2026-05-04,1,Controlamos los nervios,Hablar sobre los nervios antes de actuar. Practicar técnicas de relajación: respiración abdominal visualización positiva sacudir el cuerpo.
Infantil,Crecimiento en Armonía,T3,SDA6_CA,Cine y teatro,,,,,W5_SDA6_CA,Emociones en escena,,2026-05-05,2,La confianza en uno mismo,Actividad de autoafirmación: cada niño dice en voz alta una cosa que hace bien en la obra. Reforzar positivamente los logros de cada alumno.
Infantil,Crecimiento en Armonía,T3,SDA6_CA,Cine y teatro,,,,,W5_SDA6_CA,Emociones en escena,,2026-05-06,3,Animo a mis compañeros,Cada niño escribe o dibuja un mensaje de ánimo para otro compañero. Leer los mensajes en asamblea. Reflexionar sobre el poder de las palabras amables.
Infantil,Crecimiento en Armonía,T3,SDA6_CA,Cine y teatro,,,,,W5_SDA6_CA,Emociones en escena,,2026-05-07,4,Superamos dificultades juntos,En el ensayo identificar una parte difícil y trabajarla juntos hasta mejorarla. Celebrar el progreso como grupo. El error como parte del aprendizaje.
Infantil,Crecimiento en Armonía,T3,SDA6_CA,Cine y teatro,,,,,W5_SDA6_CA,Emociones en escena,,2026-05-08,5,Me siento seguro en escena,Ensayo ante un pequeño público (otro grupo). Reflexionar sobre cómo nos hemos sentido: ¿más seguros que antes? Identificar la mejora personal.
Infantil,Crecimiento en Armonía,T3,SDA6_CA,Cine y teatro,,,,,W6_SDA6_CA,Construimos juntos,,2026-05-11,1,Valoramos el esfuerzo del grupo,Asamblea de valoración: ¿qué hemos conseguido juntos? ¿qué momentos han sido más difíciles? Reconocer el esfuerzo de cada uno.
Infantil,Crecimiento en Armonía,T3,SDA6_CA,Cine y teatro,,,,,W6_SDA6_CA,Construimos juntos,,2026-05-12,2,Solucionamos problemas del ensayo,Si quedan aspectos por mejorar abordarlos desde la calma y la colaboración. Practicar la toma de decisiones en grupo.
Infantil,Crecimiento en Armonía,T3,SDA6_CA,Cine y teatro,,,,,W6_SDA6_CA,Construimos juntos,,2026-05-13,3,Nos preparamos emocionalmente,Rutina de preparación emocional para la actuación. Círculo de sentimientos: ¿cómo me siento antes de actuar? Validar todas las emociones.
Infantil,Crecimiento en Armonía,T3,SDA6_CA,Cine y teatro,,,,,W6_SDA6_CA,Construimos juntos,,2026-05-14,4,Últimos preparativos en equipo,Preparar juntos el espacio disfraces y decorados para la actuación. Fomentar la responsabilidad y el cuidado del material.
Infantil,Crecimiento en Armonía,T3,SDA6_CA,Cine y teatro,,,,,W6_SDA6_CA,Construimos juntos,,2026-05-15,5,Orgullosos de lo que hemos creado,Reflexión final de la SDA: ¿de qué estamos más orgullosos? Cada niño comparte algo que ha aprendido sobre sí mismo o sobre trabajar en equipo.
Infantil,Crecimiento en Armonía,T3,SDA6_CA,Cine y teatro,,,,,W7_SDA6_CA,¡Lo conseguimos!,,2026-05-18,1,Relajación y calentamiento previo,Sesión de relajación y calentamiento corporal y vocal antes de la actuación. Círculo de ánimo: cada uno dice una palabra positiva al grupo.
Infantil,Crecimiento en Armonía,T3,SDA6_CA,Cine y teatro,,,,,W7_SDA6_CA,¡Lo conseguimos!,,2026-05-19,2,¡Lo hemos conseguido juntos!,Representación de la obra. Tras la actuación celebrar el logro colectivo. Reflexión: ¿cómo nos hemos sentido? ¿qué hemos aprendido de trabajar juntos?
Infantil,Crecimiento en Armonía,T3,SDA7_CA,El universo,7_CA_CE2_C3,Reconocer y comprender las propias emociones,CE2,Desarrollo personal y emocional,W1_SDA7_CA,El universo nos une,,2026-05-20,1,Somos parte del universo,Reflexión en asamblea: así como el universo está formado por muchos elementos distintos nuestra clase está formada por niños únicos y diferentes que se complementan.
Infantil,Crecimiento en Armonía,T3,SDA7_CA,El universo,,,,,W1_SDA7_CA,El universo nos une,,2026-05-21,2,Cada uno es único como una estrella,Cada niño crea su estrella personal: la decora con sus cualidades y lo que aporta al grupo. Exposición de las estrellas en el aula.
Infantil,Crecimiento en Armonía,T3,SDA7_CA,El universo,,,,,W1_SDA7_CA,El universo nos une,,2026-05-22,3,Nos ayudamos como constelaciones,Actividad cooperativa: en grupos pequeños (constelaciones) completar una tarea que requiere la ayuda de todos. Reflexionar sobre la importancia de cada miembro.
Infantil,Crecimiento en Armonía,T3,SDA7_CA,El universo,,,,,W2_SDA7_CA,Nos movemos como planetas,,2026-05-25,1,Movimientos de rotación y traslación,De forma lúdica simular la rotación (girar sobre uno mismo) y la traslación (orbitar alrededor del Sol). Trabajar el esquema corporal y la orientación espacial.
Infantil,Crecimiento en Armonía,T3,SDA7_CA,El universo,,,,,W2_SDA7_CA,Nos movemos como planetas,,2026-05-26,2,Coordinamos movimientos en grupo,En grupos simular el sistema solar: unos son el Sol otros los planetas. Coordinar los movimientos respetando el espacio y el ritmo de cada uno.
Infantil,Crecimiento en Armonía,T3,SDA7_CA,El universo,,,,,W2_SDA7_CA,Nos movemos como planetas,,2026-05-27,3,Equilibrio y coordinación,Circuito de psicomotricidad con temática espacial: saltar cráteres pasar por túneles de gravedad cero equilibrarse en asteroides.
Infantil,Crecimiento en Armonía,T3,SDA7_CA,El universo,,,,,W2_SDA7_CA,Nos movemos como planetas,,2026-05-28,4,Danza del sistema solar,Coreografía sencilla en grupo representando los movimientos de los planetas al ritmo de música. Trabajar la coordinación el ritmo y la expresión corporal.
Infantil,Crecimiento en Armonía,T3,SDA7_CA,El universo,,,,,W2_SDA7_CA,Nos movemos como planetas,,2026-05-29,5,Control corporal en el espacio,Ejercicios de control corporal: moverse muy lento (gravedad cero) muy rápido (meteorito) con precisión (astronauta). Trabajar la autorregulación motriz.
Infantil,Crecimiento en Armonía,T3,SDA7_CA,El universo,,,,,W3_SDA7_CA,Cooperamos como estrellas,,2026-06-01,1,Juegos cooperativos espaciales,Juegos de equipo con temática espacial donde todos ganan juntos o todos pierden juntos. Fomentar la colaboración frente a la competición.
Infantil,Crecimiento en Armonía,T3,SDA7_CA,El universo,,,,,W3_SDA7_CA,Cooperamos como estrellas,,2026-06-02,2,Confiamos en nuestros compañeros,Juego de confianza: conducir a un compañero con los ojos cerrados por el espacio espacial. Reflexionar sobre la importancia de confiar en los demás.
Infantil,Crecimiento en Armonía,T3,SDA7_CA,El universo,,,,,W3_SDA7_CA,Cooperamos como estrellas,,2026-06-03,3,Trabajamos sin conflictos,Simular situaciones de conflicto en la nave espacial y buscar soluciones juntos. Practicar el diálogo el respeto y la resolución pacífica.
Infantil,Crecimiento en Armonía,T3,SDA7_CA,El universo,,,,,W3_SDA7_CA,Cooperamos como estrellas,,2026-06-04,4,Autorregulamos nuestras emociones,En situaciones de juego identificar momentos de frustración o nerviosismo y aplicar las técnicas de regulación aprendidas durante el trimestre.
Infantil,Crecimiento en Armonía,T3,SDA7_CA,El universo,,,,,W3_SDA7_CA,Cooperamos como estrellas,,2026-06-05,5,Celebramos el trabajo en equipo,Asamblea de valoración: ¿cómo hemos cooperado esta semana? Reconocer comportamientos positivos del grupo. Pequeña celebración cooperativa.
Infantil,Crecimiento en Armonía,T3,SDA7_CA,El universo,,,,,W4_SDA7_CA,Nos cuidamos en el universo,,2026-06-08,1,Hábitos saludables de un astronauta,Los astronautas cuidan mucho su salud. Hablar sobre hábitos saludables: alimentación ejercicio sueño higiene. Relacionar con la rutina diaria de los niños.
Infantil,Crecimiento en Armonía,T3,SDA7_CA,El universo,,,,,W4_SDA7_CA,Nos cuidamos en el universo,,2026-06-09,2,La alimentación en el espacio,¿Qué comen los astronautas? Reflexionar sobre la importancia de comer bien. Diseñar el menú saludable de una semana espacial.
Infantil,Crecimiento en Armonía,T3,SDA7_CA,El universo,,,,,W4_SDA7_CA,Nos cuidamos en el universo,,2026-06-10,3,El sueño y el descanso del astronauta,Hablar sobre la importancia de dormir bien. ¿Cómo duermen los astronautas en el espacio? Comparar con nuestra rutina de descanso.
Infantil,Crecimiento en Armonía,T3,SDA7_CA,El universo,,,,,W4_SDA7_CA,Nos cuidamos en el universo,,2026-06-11,4,La higiene del astronauta,¿Cómo se lavan los astronautas sin agua? Reflexionar sobre la importancia de la higiene. Repasar los hábitos de higiene propios con un juego de ordenación.
Infantil,Crecimiento en Armonía,T3,SDA7_CA,El universo,,,,,W4_SDA7_CA,Nos cuidamos en el universo,,2026-06-12,5,Me cuido para cuidar a otros,Reflexión final: cuando estamos bien nosotros podemos ayudar mejor a los demás. Conectar el autocuidado con el cuidado del grupo y del entorno.
Infantil,Crecimiento en Armonía,T3,SDA7_CA,El universo,,,,,W5_SDA7_CA,Somos una constelación,,2026-06-15,1,Reflexionamos sobre el trimestre,Asamblea de cierre: ¿qué hemos aprendido este trimestre sobre nosotros mismos y sobre trabajar juntos? Cada niño comparte un aprendizaje personal.
Infantil,Crecimiento en Armonía,T3,SDA7_CA,El universo,,,,,W5_SDA7_CA,Somos una constelación,,2026-06-16,2,Compartimos cómo nos hemos sentido,Círculo emocional de fin de trimestre: usando las tarjetas de emociones cada niño expresa cómo se ha sentido este trimestre y por qué.
Infantil,Crecimiento en Armonía,T3,SDA7_CA,El universo,,,,,W5_SDA7_CA,Somos una constelación,,2026-06-17,3,Celebración final del trimestre,Celebración conjunta con actividades libres y festivas. Entrega de diplomas o recuerdos de la constelación de la clase. Cierre emocional del curso.
